old iri,new iri
http://www.ontologyrepository.com/CommonCoreOntologies/WeekIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000097
http://www.ontologyrepository.com/CommonCoreOntologies/PartNumber,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000098
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnit,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000099
http://www.ontologyrepository.com/CommonCoreOntologies/describes,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000100
http://www.ontologyrepository.com/CommonCoreOntologies/described_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000101
http://www.ontologyrepository.com/CommonCoreOntologies/prescribes,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000102
http://www.ontologyrepository.com/CommonCoreOntologies/prescribed_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000103
http://www.ontologyrepository.com/CommonCoreOntologies/designates,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000104
http://www.ontologyrepository.com/CommonCoreOntologies/designated_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000105
http://www.ontologyrepository.com/CommonCoreOntologies/represents,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000106
http://www.ontologyrepository.com/CommonCoreOntologies/represented_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000107
http://www.ontologyrepository.com/CommonCoreOntologies/is_about,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000108
http://www.ontologyrepository.com/CommonCoreOntologies/is_subject_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000109
http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000110
http://www.ontologyrepository.com/CommonCoreOntologies/is_a_measurement_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000111
http://www.ontologyrepository.com/CommonCoreOntologies/is_a_ratio_measurement_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000112
http://www.ontologyrepository.com/CommonCoreOntologies/is_excerpted_from,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000113
http://www.ontologyrepository.com/CommonCoreOntologies/is_mentioned_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000114
http://www.ontologyrepository.com/CommonCoreOntologies/is_a_interval_measurement_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000115
http://www.ontologyrepository.com/CommonCoreOntologies/is_a_ordinal_measurement_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000116
http://www.ontologyrepository.com/CommonCoreOntologies/is_mention_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000117
http://www.ontologyrepository.com/CommonCoreOntologies/uses_geospatial_coordinate_reference_system,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000118
http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by_ordinal,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000119
http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by_interval,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000120
http://www.ontologyrepository.com/CommonCoreOntologies/is_reference_system_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000121
http://www.ontologyrepository.com/CommonCoreOntologies/uses_language,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000122
http://www.ontologyrepository.com/CommonCoreOntologies/uses_measurement_unit,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000123
http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by_ratio,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000124
http://www.ontologyrepository.com/CommonCoreOntologies/time_zone_identifier_used_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000125
http://www.ontologyrepository.com/CommonCoreOntologies/is_geospatial_coordinate_reference_system_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000126
http://www.ontologyrepository.com/CommonCoreOntologies/is_measured_by_nominal,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000127
http://www.ontologyrepository.com/CommonCoreOntologies/condition_described_by,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000128
http://www.ontologyrepository.com/CommonCoreOntologies/is_a_nominal_measurement_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000129
http://www.ontologyrepository.com/CommonCoreOntologies/describes_condition,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000130
http://www.ontologyrepository.com/CommonCoreOntologies/is_measurement_unit_of,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000131
http://www.ontologyrepository.com/CommonCoreOntologies/uses_reference_system,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000132
http://www.ontologyrepository.com/CommonCoreOntologies/language_used_in,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000133
http://www.ontologyrepository.com/CommonCoreOntologies/uses_time_zone_identifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000134
http://www.ontologyrepository.com/CommonCoreOntologies/has_text_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000135
http://www.ontologyrepository.com/CommonCoreOntologies/has_integer_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000136
http://www.ontologyrepository.com/CommonCoreOntologies/has_double_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000137
http://www.ontologyrepository.com/CommonCoreOntologies/has_decimal_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000138
http://www.ontologyrepository.com/CommonCoreOntologies/has_datetime_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000139
http://www.ontologyrepository.com/CommonCoreOntologies/has_date_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000140
http://www.ontologyrepository.com/CommonCoreOntologies/has_boolean_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000141
http://www.ontologyrepository.com/CommonCoreOntologies/has_URI_value,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000142
http://www.ontologyrepository.com/CommonCoreOntologies/GMTplus7,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000143
http://www.ontologyrepository.com/CommonCoreOntologies/UniversalTime2,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000144
http://www.ontologyrepository.com/CommonCoreOntologies/TwelveHourClockTimeSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000145
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus10,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000146
http://www.ontologyrepository.com/CommonCoreOntologies/BarycentricDynamicalTime,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000147
http://www.ontologyrepository.com/CommonCoreOntologies/WhiskeyTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000148
http://www.ontologyrepository.com/CommonCoreOntologies/GMTminus2,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000149
http://www.ontologyrepository.com/CommonCoreOntologies/JulietTimeZone,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000150
http://www.ontologyrepository.com/CommonCoreOntologies/GregorianCalendar,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000151
