old-iri,new-iri
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfDirectiveCommunication,https://www.commoncoreontologies.org/ont00000133
http://www.ontologyrepository.com/CommonCoreOntologies/ThirdOrderAdministrativeRegion,https://www.commoncoreontologies.org/ont00000134
http://www.ontologyrepository.com/CommonCoreOntologies/StasisOfSpecificallyDependentContinuant,https://www.commoncoreontologies.org/ont00000135
http://www.ontologyrepository.com/CommonCoreOntologies/OpticalInstrument,https://www.commoncoreontologies.org/ont00000136
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfFinancialDeposit,https://www.commoncoreontologies.org/ont00000137
http://www.ontologyrepository.com/CommonCoreOntologies/MaximumPower,https://www.commoncoreontologies.org/ont00000138
http://www.ontologyrepository.com/CommonCoreOntologies/Country,https://www.commoncoreontologies.org/ont00000139
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAmountOfSubstance,https://www.commoncoreontologies.org/ont00000140
http://www.ontologyrepository.com/CommonCoreOntologies/Populace,https://www.commoncoreontologies.org/ont00000141
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfGovernment,https://www.commoncoreontologies.org/ont00000142
http://www.ontologyrepository.com/CommonCoreOntologies/CargoCabin,https://www.commoncoreontologies.org/ont00000143
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfMeeting,https://www.commoncoreontologies.org/ont00000144
http://www.ontologyrepository.com/CommonCoreOntologies/IncendiaryWeapon,https://www.commoncoreontologies.org/ont00000145
http://www.ontologyrepository.com/CommonCoreOntologies/ArtificialLanguage,https://www.commoncoreontologies.org/ont00000146
http://www.ontologyrepository.com/CommonCoreOntologies/FlightTransponder,https://www.commoncoreontologies.org/ont00000147
http://www.ontologyrepository.com/CommonCoreOntologies/ClockwiseRotationalMotion,https://www.commoncoreontologies.org/ont00000148
http://www.ontologyrepository.com/CommonCoreOntologies/InstantMessaging,https://www.commoncoreontologies.org/ont00000149
http://www.ontologyrepository.com/CommonCoreOntologies/RadioFrequency,https://www.commoncoreontologies.org/ont00000150
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfReporting,https://www.commoncoreontologies.org/ont00000151
http://www.ontologyrepository.com/CommonCoreOntologies/TelephoneNetwork,https://www.commoncoreontologies.org/ont00000152
http://www.ontologyrepository.com/CommonCoreOntologies/GeneratorControlUnit,https://www.commoncoreontologies.org/ont00000153
http://www.ontologyrepository.com/CommonCoreOntologies/ModePointEstimateInformationContentEntity,https://www.commoncoreontologies.org/ont00000154
http://www.ontologyrepository.com/CommonCoreOntologies/NearInfraredLightFrequency,https://www.commoncoreontologies.org/ont00000155
http://www.ontologyrepository.com/CommonCoreOntologies/HandGun,https://www.commoncoreontologies.org/ont00000156
http://www.ontologyrepository.com/CommonCoreOntologies/FacialHair,https://www.commoncoreontologies.org/ont00000157
http://www.ontologyrepository.com/CommonCoreOntologies/LithiumIonElectricBattery,https://www.commoncoreontologies.org/ont00000158
http://www.ontologyrepository.com/CommonCoreOntologies/TimekeepingInstrument,https://www.commoncoreontologies.org/ont00000159
http://www.ontologyrepository.com/CommonCoreOntologies/ManualTool,https://www.commoncoreontologies.org/ont00000160
http://www.ontologyrepository.com/CommonCoreOntologies/CoordinateSystemAxis,https://www.commoncoreontologies.org/ont00000161
http://www.ontologyrepository.com/CommonCoreOntologies/ElectricalConnectorArtifactFunction,https://www.commoncoreontologies.org/ont00000162
http://www.ontologyrepository.com/CommonCoreOntologies/zAxis,https://www.commoncoreontologies.org/ont00000163
http://www.ontologyrepository.com/CommonCoreOntologies/MinimumOrdinalMeasurementInformationContentEntity,https://www.commoncoreontologies.org/ont00000164
http://www.ontologyrepository.com/CommonCoreOntologies/CriminalAct,https://www.commoncoreontologies.org/ont00000165
http://www.ontologyrepository.com/CommonCoreOntologies/WaveCycle,https://www.commoncoreontologies.org/ont00000166
http://www.ontologyrepository.com/CommonCoreOntologies/LargeScaleRocketLauncher,https://www.commoncoreontologies.org/ont00000167
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfInterpersonalRelationship,https://www.commoncoreontologies.org/ont00000168
http://www.ontologyrepository.com/CommonCoreOntologies/VeryHighFrequency,https://www.commoncoreontologies.org/ont00000169
http://www.ontologyrepository.com/CommonCoreOntologies/ObjectTrackPoint,https://www.commoncoreontologies.org/ont00000170
http://www.ontologyrepository.com/CommonCoreOntologies/DetergentArtifactFunction,https://www.commoncoreontologies.org/ont00000171
http://www.ontologyrepository.com/CommonCoreOntologies/BaseOfOperations,https://www.commoncoreontologies.org/ont00000172
http://www.ontologyrepository.com/CommonCoreOntologies/CivilianRole,https://www.commoncoreontologies.org/ont00000173
http://www.ontologyrepository.com/CommonCoreOntologies/UltravioletTelescope,https://www.commoncoreontologies.org/ont00000174
http://www.ontologyrepository.com/CommonCoreOntologies/OrganizationMemberRole,https://www.commoncoreontologies.org/ont00000175
http://www.ontologyrepository.com/CommonCoreOntologies/GeopoliticalOrganization,https://www.commoncoreontologies.org/ont00000176
http://www.ontologyrepository.com/CommonCoreOntologies/Affordance,https://www.commoncoreontologies.org/ont00000177
http://www.ontologyrepository.com/CommonCoreOntologies/Arrow,https://www.commoncoreontologies.org/ont00000178
http://www.ontologyrepository.com/CommonCoreOntologies/Thrust,https://www.commoncoreontologies.org/ont00000179
http://www.ontologyrepository.com/CommonCoreOntologies/Hotel,https://www.commoncoreontologies.org/ont00000180
http://www.ontologyrepository.com/CommonCoreOntologies/LanguageSkill,https://www.commoncoreontologies.org/ont00000181
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfThanking,https://www.commoncoreontologies.org/ont00000182
http://www.ontologyrepository.com/CommonCoreOntologies/FragranceArtifactFunction,https://www.commoncoreontologies.org/ont00000183
http://www.ontologyrepository.com/CommonCoreOntologies/AxialRotationPeriod,https://www.commoncoreontologies.org/ont00000184
http://www.ontologyrepository.com/CommonCoreOntologies/Blunt,https://www.commoncoreontologies.org/ont00000185
http://www.ontologyrepository.com/CommonCoreOntologies/ArtifactVersionOrdinality,https://www.commoncoreontologies.org/ont00000186
http://www.ontologyrepository.com/CommonCoreOntologies/AuthorityRole,https://www.commoncoreontologies.org/ont00000187
http://www.ontologyrepository.com/CommonCoreOntologies/GroundTrack,https://www.commoncoreontologies.org/ont00000188
