Kind,Label,CCO IRI,QUDT IRI
Class,Measurement Unit of Area Moment of Inertia,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAreaMomentOfInertia,
Class,Measurement Unit of Density,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfDensity,
Class,Measurement Unit of Electromagnetic Force,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfElectromagneticForce,
Class,Measurement Unit of Energy,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfEnergy,
Class,Measurement Unit of Flow,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfFlow,
Class,Measurement Unit of Force,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfForce,
Class,Measurement Unit of Frequency,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfFrequency,
Class,Measurement Unit of Geocoordinate,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfGeocoordinate,
Class,Measurement Unit of Impulse,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfImpulse,
Class,Measurement Unit of Length,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfLength,
Class,Measurement Unit of Mass,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfMass,
Class,Measurement Unit of Mass Flow Rate,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfMassFlowRate,
Class,Measurement Unit of Momentum,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfMomentum,
Class,Measurement Unit of Power,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfPower,
Class,Measurement Unit of Pressure,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfPressure,
Class,Measurement Unit of Rotational Inertia,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfRotationalInertia,
Class,Measurement Unit of Sound Level,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfSoundLevel,
Class,Measurement Unit of Speed,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfSpeed,
Class,Measurement Unit of Temperature,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfTemperature,
Class,Measurement Unit of Time,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfTime,
Class,Measurement Unit of Torque,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfTorque,
Class,Measurement Unit of Volume,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfVolume,
Class,Measurement Unit of Volumetric Flow Rate,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfVolumetricFlowRate,
Class,Measurement Unit of Work,http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfWork,
